Field Name,Type,Required,Purpose,Example Value,Description,Format Notes,Comments
clientId,String,Yes,Link movable visit template to specific client,client_001,Client identifier (can be external ID from eCare),Any string format,Can use external ID from eCare. Must be unique within organization
clientName,String,Recommended,Display client name in UI and match visits to clients,Anna Andersson,Client name (for matching and display),Full name format,Used for display and matching during import
clientPersonnummer,String,Optional,Client social security number from PDF,481123-0038,Personnummer (YYMMDD-XXXX format),YYMMDD-XXXX format,Extracted from PDF "Avser person" section
clientAddress,String,Optional,Client address from PDF,"Brunskogsbacken 84, 12371 Farsta",Full address from PDF,Full street address with postal code,Extracted from PDF. Will be geocoded if lat/lng not provided
clientPortkod,String,Optional,Client apartment door code from PDF,1234,Portkod (door code),String (numeric),Extracted from PDF "Portkod" field
clientPhone,String,Optional,Client home phone number from PDF,08-12345678,Client home phone,Phone number format,Extracted from PDF "Telefonnummer" field
clientMobilnummer,String,Optional,Client mobile phone number from PDF,070-1234567,Client mobile phone,Phone number format,Extracted from PDF "Mobilnummer" field
clientCivilstand,String,Optional,Client marital status from PDF,Änka,Client marital status,Enum string,Values: Änka/Änkling, Ensamboende, Gift, Sambo, etc.
clientLanguage,String,Optional,Client preferred language from PDF,Svenska,Client contact language,Language name,Extracted from PDF "Kontaktspråk" field
clientAktuelSituation,String,Optional,Client current situation assessment from PDF,"Kartläggning av aktuell situation...",Full situation assessment text,Multi-line text,Extracted from PDF "Kartläggning av aktuell situation" section
orderNumber,String,Optional,Order number from municipality PDF,3303540,Beställningsnummer from PDF,Any string format,Extracted from PDF "Beställningsnr" field
orderDate,Date (YYYY-MM-DD),Optional,Date when order was created,2025-10-30,Order creation date from PDF,YYYY-MM-DD,Extracted from PDF "Utskriftsdatum" field
handlaggare,String,Optional,Municipality case worker name from PDF,Amanda Palm,Handläggare (case worker) name,Full name format,Extracted from PDF "Handläggare" field. Municipality contact person
handlaggareTelefon,String,Optional,Municipality case worker phone from PDF,08-12345678,Handläggare phone number,Phone number format,Extracted from PDF "Tfn" field near Handläggare
contactRelation,String,Optional,External contact relation to client,Dotter,Contact relation to client,Enum string,Values: Son/dotter, Dotter, Son, Vän, Make, Maka, Barnbarn, Systrar, Bror, Närstående
contactName,String,Optional,External contact name from PDF,Anna Fernberg Mautner,External contact full name,Full name format,Extracted from PDF "Externa kontakter" table. Närstående (relatives/friends)
contactTelefonHem,String,Optional,External contact home phone,08-12345678,Contact home phone,Phone number format,Extracted from PDF "Telefon hem" field
contactTelefonArbete,String,Optional,External contact work phone,08-87654321,Contact work phone,Phone number format,Extracted from PDF "Telefon arbete" field
contactMobilnummer,String,Optional,External contact mobile phone,070-1234567,Contact mobile phone,Phone number format,Extracted from PDF "Mobilnummer" field
contactEmail,String,Optional,External contact email address,anna.mautner@example.com,Contact email address,Email format,Extracted from PDF if available
